date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:21:32	190130/190130	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Mar%202022%2006:21:35%20GMT	https://www.pandimensionals.io/	C:/Users/monog/OneDrive/Desktop/Minting%20Website/project%202/Project%202/www.pandimensionals.io/index.html	(from )
12:21:32	129/129	---M-Z	200	added ('OK')	text/plain	date:Sat,%2019%20Mar%202022%2006:21:35%20GMT	https://www.pandimensionals.io/robots.txt		(from )
12:21:33	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2019%20Mar%202022%2006:21:36%20GMT	https://www.pandimensionals.io/xmlrpc.php	C:/Users/monog/OneDrive/Desktop/Minting%20Website/project%202/Project%202/www.pandimensionals.io/xmlrpc.php	(from https://www.pandimensionals.io/)
12:21:34	1099/1099	---M-Z	200	added ('OK')	application/rss+xml	etag:%222bd2f0eaba1e83ee8129257e57da1ecd-gzip%22	https://www.pandimensionals.io/comments/feed/	C:/Users/monog/OneDrive/Desktop/Minting%20Website/project%202/Project%202/www.pandimensionals.io/comments/feed/index.html	(from https://www.pandimensionals.io/)
12:21:34	43163/43163	---M-Z	200	added ('OK')	application/rss+xml	etag:%22068512b3b2c5c978142219342dce3a27-gzip%22	https://www.pandimensionals.io/feed/	C:/Users/monog/OneDrive/Desktop/Minting%20Website/project%202/Project%202/www.pandimensionals.io/feed/index.html	(from https://www.pandimensionals.io/)
12:21:34	1538/1538	---M-Z	200	added ('OK')	text/css	etag:%22602-5d18b50e1550b-gzip%22	https://d3th0yrgxhrrkf.cloudfront.net/wp-content/plugins/dg-divi-carousel/styles/light-box-styles.css?x89267	C:/Users/monog/OneDrive/Desktop/Minting%20Website/project%202/Project%202/d3th0yrgxhrrkf.cloudfront.net/wp-content/plugins/dg-divi-carousel/styles/light-box-styles384d.css	(from https://www.pandimensionals.io/)
12:21:35	19789/19789	---M-Z	200	added ('OK')	text/css	etag:%224d4d-5d18b50e1550b-gzip%22	https://d3th0yrgxhrrkf.cloudfront.net/wp-content/plugins/dg-divi-carousel/styles/swiper.min.css?x89267	C:/Users/monog/OneDrive/Desktop/Minting%20Website/project%202/Project%202/d3th0yrgxhrrkf.cloudfront.net/wp-content/plugins/dg-divi-carousel/styles/swiper.min384d.css	(from https://www.pandimensionals.io/)
12:21:35	98128/98128	---M-Z	200	added ('OK')	text/css	etag:%2217f50-5d3d1e65ec157-gzip%22	https://d3th0yrgxhrrkf.cloudfront.net/wp-content/plugins/divi-tweaker/public/css/hover-min.css?x89267	C:/Users/monog/OneDrive/Desktop/Minting%20Website/project%202/Project%202/d3th0yrgxhrrkf.cloudfront.net/wp-content/plugins/divi-tweaker/public/css/hover-min384d.css	(from https://www.pandimensionals.io/)
12:21:36	68/68	---MCZ	200	added ('OK')	text/css	etag:W/%2244-5d27f552d5d80%22	https://d3th0yrgxhrrkf.cloudfront.net/wp-content/plugins/svg-support/css/svgs-attachment.css?x89267	C:/Users/monog/OneDrive/Desktop/Minting%20Website/project%202/Project%202/d3th0yrgxhrrkf.cloudfront.net/wp-content/plugins/svg-support/css/svgs-attachment384d.css	(from https://www.pandimensionals.io/)
12:21:37	7647/7647	---M-Z	200	added ('OK')	text/css	etag:%221ddf-5d1a42c32357d-gzip%22	https://d3th0yrgxhrrkf.cloudfront.net/wp-content/plugins/popups-for-divi/styles/front.min.css?x89267	C:/Users/monog/OneDrive/Desktop/Minting%20Website/project%202/Project%202/d3th0yrgxhrrkf.cloudfront.net/wp-content/plugins/popups-for-divi/styles/front.min384d.css	(from https://www.pandimensionals.io/)
12:21:38	9427/9427	---M--	200	added ('OK')	image/gif	etag:%2224d3-5d13f75d763ee%22	https://d3th0yrgxhrrkf.cloudfront.net/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif?x89267	C:/Users/monog/OneDrive/Desktop/Minting%20Website/project%202/Project%202/d3th0yrgxhrrkf.cloudfront.net/wp-content/themes/Divi/includes/builder/styles/images/preloader384d.gif	(from https://www.pandimensionals.io/)
12:21:38	92564/92564	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2216994-5d13f75d7256e%22	https://www.pandimensionals.io/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	C:/Users/monog/OneDrive/Desktop/Minting%20Website/project%202/Project%202/www.pandimensionals.io/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	(from https://www.pandimensionals.io/)
